line_number,dominant_lexicon,dominant_embedding
1,,sanctity.virtue
2,,sanctity.virtue
3,sanctity.virtue,sanctity.virtue
4,,sanctity.vice
5,,sanctity.virtue
6,,sanctity.virtue
7,,sanctity.vice
8,,sanctity.vice
9,,fairness.vice
10,,authority.vice
11,,care.virtue
12,,sanctity.vice
13,,sanctity.virtue
14,,authority.vice
15,,sanctity.vice
16,,sanctity.virtue
17,,sanctity.vice
18,,sanctity.virtue
19,,sanctity.virtue
20,,authority.virtue
21,,loyalty.virtue
22,authority.virtue,care.virtue
23,,care.virtue
24,,care.virtue
25,,sanctity.vice
26,,sanctity.vice
27,,sanctity.vice
28,,sanctity.vice
29,,fairness.vice
30,,sanctity.vice
31,,sanctity.vice
32,,authority.vice
33,,sanctity.vice
34,,sanctity.vice
35,,care.virtue
36,,care.virtue
37,,sanctity.vice
38,,sanctity.virtue
39,,loyalty.virtue
40,,sanctity.vice
41,,sanctity.vice
42,,authority.virtue
43,care.vice,fairness.vice
44,,sanctity.vice
45,,sanctity.vice
46,,authority.virtue
47,,sanctity.virtue
48,,authority.vice
49,,authority.vice
50,,sanctity.virtue
51,,fairness.vice
52,,sanctity.virtue
53,,loyalty.virtue
54,,sanctity.virtue
55,,sanctity.vice
56,,sanctity.virtue
57,,authority.virtue
58,,sanctity.virtue
59,authority.virtue,sanctity.virtue
60,,sanctity.virtue
61,,care.vice
62,,authority.vice
63,sanctity.virtue,sanctity.virtue
64,,care.virtue
65,,sanctity.vice
66,,sanctity.vice
67,,fairness.virtue
68,care.virtue,care.virtue
69,loyalty.virtue,loyalty.virtue
70,,sanctity.virtue
71,,fairness.virtue
72,,sanctity.vice
73,,sanctity.virtue
74,,care.virtue
75,,sanctity.vice
76,,sanctity.vice
77,,sanctity.virtue
78,,sanctity.vice
79,,fairness.virtue
80,,sanctity.vice
81,,sanctity.virtue
82,,care.virtue
83,,sanctity.virtue
84,,sanctity.virtue
85,,care.virtue
86,,sanctity.vice
87,,loyalty.virtue
88,,sanctity.virtue
89,,authority.vice
90,,care.virtue
91,,authority.virtue
92,,sanctity.virtue
93,,sanctity.virtue
94,,authority.virtue
95,,loyalty.virtue
96,,care.virtue
97,,sanctity.virtue
98,,sanctity.vice
99,,sanctity.virtue
100,,sanctity.vice
101,,authority.vice
102,,fairness.virtue
103,,sanctity.virtue
104,,care.virtue
105,,care.virtue
106,,loyalty.virtue
107,,authority.vice
108,,fairness.virtue
109,,sanctity.virtue
110,,sanctity.virtue
111,,sanctity.virtue
