paragraph_num,text_preview,lexicon_dominant,lexicon_2nd,lexicon_3rd,lexicon_top_score,embedding_dominant,embedding_2nd,embedding_3rd,embedding_top_score,mfd_words_found
1,"೧. ಮುತುಗದ ಎಲೆ ಗೋತಾಯಿ
ಒಂದ್‌ ಪಟ್ಟಣ. ಒಬ್ಬ ದೊಡ್ಡ ದೊರೆ. ದೊಡ್ಡ ದೊರೆಗೆ ಏಳ್‌ ಮಕ್ಕಳು.
ಏಳ್‌ ಮಕ್ಕಳಿಗೂ ಚೆನ್ನಾಗಿ ಓದ್ದಿ, ಓದ್‌ ಬಂದೋರ್‌ಗೆ ಹಾಲು ತುಪ್ಪ ಅನ್ನ ಹಾಕಿ
ಮಂಚದ ಕೂಡ್ರಿಸಿ ಚೆನ್ನಾಗಿ ಸಾಕೋರು. ಏಳು ಮಕ್ಕಳೂವೆ ಹೆಣ್‌ ಮಕ್ಕಳೇ
...",authority.virtue,care.vice,sanctity.virtue,0.008888888888888889,sanctity.virtue,care.virtue,authority.virtue,0.39707303,"{'care.vice': ['ಸಂಕಟ'], 'authority.virtue': ['ರಾಜ', 'ರಾಜ'], 'sanctity.virtue': ['ನನ್']}"
3,"ಮುತುಗದ ಎಲೆ ಗೋತಾಯಿ 3
ತಾಳೆ ಮ್ರಾತೆ ಕುಯ್ಯೊಂಡ್‌ ಬರಬೇಕು. ಅಂತವರ್ಲೂ ಮುಟ್ಟೋಹಂಗಿಲ್ಲ ಅದನ್ನ.
ತೋಟ ಕಾಯೋ ಆಳ್‌ಗಳ ಹೆಂಡ್ತಿರು ಒಬ್ಬರಿಗೊಬ್ಬರು ಹಂಗಂತ ಮಾತಾಡಕೊಂತ
“ಅಯ್ಯೋ ಅಕ್ಕ ಬನ್ನಿರಕ್ಕ ನಮ್‌ ಯಜಮಾನ್ರಿಗೆ ಅಡಿಗೆ ಮಾಡ್ಬೇಕು ಹೊತ್ತಾಯ್ತು...",care.virtue,sanctity.vice,sanctity.virtue,0.00819672131147541,sanctity.virtue,authority.virtue,care.virtue,0.49309933,"{'care.virtue': ['ತೋಟ', 'ತೋಟ'], 'sanctity.virtue': ['ನನ್'], 'sanctity.vice': ['ಕೋಳಿ', 'ಕೋಳಿ']}"
4,"4 ಜನಪದ ಕಥೆಗಳು
ತಗೊಂಡೋಗ್ತಾ ಇದೀಯ, ಇದ್ಯಾವ ಬಗೇಲಿ ನೀನ್‌ ಮಾರ್ತೀಯ ಕೇಳಿದ ರಾಜ.
ಸ್ವಾಮಿ ನನಗ್‌ ಗೊತ್ತಿಲ್ಲ ಅಂದ ಮಂತ್ರಿ. ನೋಡಯ್ಯ ತಾಳೆಗರಿಯಲ್ಲಿ ಅಕ್ಷರ ಇದೆ.
ತಾಳೆಗರಿನ ದಿನಕ್ಕೊಂದರಂತೆ ನೆಲ, ಮನೆ ಸಾರಿಸಿ ಮಡಿ ಉಟ್ಕೊಂಡು ಏಳ್‌ ರಾತ್ರಿ
ಓ...",care.virtue,authority.virtue,care.vice,0.004329004329004329,sanctity.virtue,authority.virtue,care.virtue,0.4510593,"{'care.virtue': ['ತಾಯಿ'], 'authority.virtue': ['ರಾಜ']}"
5,"ಮುತುಗದ ಎಲೆ ಗೋತಾಯಿ
ಪರಮಾತ್ಮ ಕೊಟ್ಟವ್ನೆ ಅಂತ, ಅಡವಿಗೆ ಹೋಗ್ಬಿಟ್ಟಳು. ಹೋಗಿ ನೀರ್‌
ತೊಗೊಂಡು, ಕೈಕಾಲು ತೊಳೆದು, ಬಾಗಿಲು ಸಾರಿಸಿ, ಚಂಬಲ್ಲಿ ನೀರ್‌ ಹಿಡ್ಕೊಂಡ್‌
ನಿಂತಿದ್ಭು. ರಾಜನ ಮಗ ಇದ್ದನಲ್ಲ ಕುದುರೆ ಹತ್ಕೊಂಡ್‌ ಬಂದ್‌ಬಿಟ್ಟ. ರಾಜನ
ಮಗ...",care.virtue,authority.virtue,care.vice,0.01646090534979424,sanctity.virtue,care.virtue,authority.virtue,0.50955313,"{'care.virtue': ['ತಾಯಿ', 'ತಾಯಿ', 'ತಾಯಿ', 'ತಾಯಿ'], 'care.vice': ['ಕಷ್ಟ'], 'authority.virtue': ['ತಂದೆ', 'ರಾಜ', 'ರಾಣಿ', 'ರಾಜ'], 'sanctity.virtue': ['ನನ್']}"
6,"6 ಜನಪದ ಕಥೆಗಳು
ಮುತುಗದ ಎಲೆ ಗುಡ್ಡಲಿ ಕೂಡಿಹಾಕಿ ಬಂದೆ ಅಂದ. ಅಯ್ಯಾ ಅಲ್ಲೆಯಾದರು
ಹೇಳ್‌ಬ್ಯಾಡವೇನಪ್ಪ) ಆಸೆ ಆದರೂ ಕಳಕೊಳ್ಳುವೆ ಹೇಳಿದಳು. ಮನೇಲಿ
ಯಾರುಗೂ ಹೇಳೋದ್‌ ಬ್ಯಾಡ ಅಂದ ಮಂತ್ರಿ. ಬಂದರೆ ಅಷ್ಟೊತ್ತಿಗೆ ಕಷ್ಟ ಸುಖ
ನೋಡೋರಿಲ್ಲದೆ ಮಂಚದ ಕ...",authority.virtue,care.virtue,care.vice,0.012987012987012988,sanctity.virtue,authority.virtue,care.virtue,0.5179205,"{'care.virtue': ['ಆಸ್ಪತ್ರೆ', 'ಊಟ'], 'care.vice': ['ಕಷ್ಟ'], 'loyalty.virtue': ['ಸಹ'], 'authority.virtue': ['ತಂದೆ', 'ರಾಜ', 'ಇಚ್ಛೆ']}"
1,"ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು
ಪುರಾತನ ಕಾಲದಲ್ಲಿ ಗೋಪಾಲಸೆ ಟ್ಟ ಎಂಬೊಬ್ಬ ವ್ಯಾಪಾರಿಯು
ಕಾಶಿ ರ ನಗರದಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದರು. ಶೇಮಂತನಾದ ವರ್ತಕನಿಗೆ
ಮೋಹಿನಿಯೊಬ್ಬ ಳೇ ಮಗಳು. ರೊಪ ಸುಂದರಿಯಾದ ಮೋಹಿನಿಯು
ಓದುಬರಹದಲ್ಲೂ ಅಕಿ ನಿಪುಣಳು. ಅವಳು ವಯಸ್ಸಿಗೆ...",care.virtue,sanctity.virtue,sanctity.vice,0.00684931506849315,sanctity.virtue,care.virtue,authority.virtue,0.4463393,"{'care.virtue': ['ನಿವಾರಣೆ'], 'sanctity.virtue': ['ಮದುವೆ'], 'sanctity.vice': ['ರೋಗ']}"
2,"ಘಿ ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು
ಕೇಳಿದನು. ಅವಳು ಮುಖ ತಗ್ಗಿಸ್ಕಿ, “ಅದು ರಹಸ್ಯ ಸಂಗತಿ.
ಹೇಳಲಾರೆ. ಸಂದರ್ಭ ದೊರಕಿದಾಗ ನಾನೇ ವಿವರಿಸುತ್ತೇನೆ”
ಹೇಳಿದಳು, ದಿವಸಗಳು ಉರುಳಿದ ಮೋಹಿನಿಯು
ರಾತ್ರಿ ತನ್ನ ದಾಸಿಯನ್ನು ತನ್ನ ಮಂಚದ ಮಲಗಿಸಿದಳು,
ತಾನು ಪುರುಷ...",care.vice,care.virtue,sanctity.virtue,0.013333333333333334,sanctity.virtue,sanctity.vice,care.virtue,0.55174243,"{'care.virtue': ['ಗಾಯ'], 'care.vice': ['ಗಾಯ', 'ಹಾನಿ'], 'sanctity.virtue': ['ಮದುವೆ']}"
3,"ಶ್ರೀ ಕೀತಿ: ಕಥೆಗಳು a
ನೋಹಿನಿಯು “ವೈದ್ಯಶ್ರೇಷ್ಠನೇ! ಪ್ರಸಂಗವೇನೆಂದು
ತಿಳಿಸಿ ಉಪಕಾರ ಮಾಡಿರಿ” ಕೇಳಿದಳು. ಮೋಹನದಾಸನು ಒಪ್ಪಿ
ಇಂತೆಂದನು, “ನಾನು ತರುಣನಿದ್ದಾಗ ಧರ್ಮಪುರವೆಂಬ ನಗರದಲ್ಲಿ ಸ್ಪಲ್ಪ
ಕಾಲದ ವರೆಗೆ ವಾಸಿಸುತಿದ್ದೆ. ಅಲ್ಲಿ ನೆರೆದ ರ...",care.virtue,care.vice,fairness.virtue,0.006329113924050633,sanctity.virtue,care.virtue,authority.virtue,0.55639994,{'care.virtue': ['ಉಪಕಾರ']}
4,"ಲ ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು
ಅದರಿಂದ ಸ್ವಲ್ಪ ಸಮಾಧಾನ ಪಟ್ಟು ಮರಳಿದೆ. ರಾತ್ರಿ
ನಾಲಿಗೆಗೆ ಊಟವು ರುಚಿಸಲಿಲ್ಲ. ಕಣ್ಣಿಗೆ ನಿದ್ದೆ ಹತ್ತಲಿಲ್ಲ. ರಾತ್ರಿಯಿಡೀ
ಕೋಮಲಾಂಗಿಯನ್ನೇ ಚಿಂತಿಸುತ್ತಿದ್ದೆ. ಬೆಳಗಾದ ನಿತ್ಯ ವಿಧಿ
ಗಳನ್ನು ತೀರಿಸಿ ದಿವ್ಯಾಲಂಕೃತ...",care.virtue,authority.virtue,care.vice,0.006097560975609756,sanctity.virtue,care.virtue,authority.virtue,0.47593218,"{'care.virtue': ['ಸಮಾಧಾನ'], 'authority.virtue': ['ಸಮಾಧಾನ']}"
5,"ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು ೫
ಸಲ ದೇವರ ದರ್ಶನಕ್ಕೆ ಬರತೊಡಗಿದಳು. ಅವಳೊಂದಿಗೆ ದಾಸಿಯು
ಇರುತ್ತಿದ್ದು ದರಿಂದ ಮಾತನಾಡಲು ಅವಕಾಶವೇ ಸಿಗಲಿಲ್ಲ,
ಅವಳ ದರ್ಶನಲಾಭ ಲಭಿಸುತ್ತಿತ್ತು. ಅನೇಕ ದಿನಗಳು
ಉರುಳಿದವು. ಇಬ್ಬರೂ ಕಾಮವಿಕಾರದಿಂದ ಬಳಲತೊಡಗಿದೆವು. ಅವಳ...",care.virtue,care.vice,fairness.virtue,0.0125,sanctity.virtue,care.virtue,authority.virtue,0.5091636,"{'care.virtue': ['ಇಷ್ಟ', 'ನಿವಾರಣೆ'], 'care.vice': ['ದುಃಖ']}"
