,English_Aesop,Tamil_Thirukkural,Tamil_Aathichudi
authority.vice,0.25993344,0.47529146,0.3964652
authority.virtue,0.30772787,0.5024065,0.42451316
care.vice,0.2792599,0.49089882,0.39729565
care.virtue,0.3069915,0.4901883,0.4283212
fairness.vice,0.26220906,0.48302913,0.4026747
fairness.virtue,0.2780405,0.46659118,0.4072073
loyalty.vice,0.2768131,0.46772978,0.39305434
loyalty.virtue,0.29593125,0.4996673,0.41135907
sanctity.vice,0.29118225,0.5439799,0.43283078
sanctity.virtue,0.30695897,0.5312868,0.45206392
